Name,Year,Global_Sales
FlatOut,2004.0,0.38
Tales of Zestiria,2015.0,0.38
Elite Beat Agents,2006.0,0.38
Grandia Xtreme,2002.0,0.38
Silent Scope,2000.0,0.38
Final Fantasy Adventure,1991.0,0.38
The Incredible Hulk,2008.0,0.38
EA Sports MMA,2010.0,0.38
MediEvil II,1999.0,0.38
Pokemon Channel,2003.0,0.38
Taiko no Tatsujin Portable DX,2011.0,0.38
Moto Racer World Tour,2000.0,0.38
Gravitar,1982.0,0.38
Marvel Super Hero Squad,2009.0,0.38
Harry Potter and the Prisoner of Azkaban,2004.0,0.38
Solaris,1986.0,0.37
Puppy Palace,2008.0,0.37
Super Dragon Ball Z,2006.0,0.37
SAW,2009.0,0.37
Digging for Dinosaurs,2010.0,0.37
Trivial Pursuit,2009.0,0.37
Life is Strange,2016.0,0.37
The BIGS,2007.0,0.37
Mini Ninjas,2009.0,0.37
LEGO Dimensions,2015.0,0.37
Reel Fishing III,2003.0,0.37
Panzer Dragoon,1995.0,0.37
Rage,2011.0,0.37
Dungeon Siege III,2011.0,0.37
Rec Room Games,2009.0,0.37
Dragonfire,1981.0,0.37
Custom Robo,2004.0,0.37
Harry Potter and the Order of the Phoenix,2007.0,0.37
Bionic Commando,2009.0,0.37
Dishonored,2015.0,0.37
Super Robot Taisen EX,1994.0,0.37
Shin Megami Tensei II,1994.0,0.37
Skylanders SWAP Force,2013.0,0.37
Dreamworks Madagascar Kartz,2009.0,0.36
Nonomura Byoin no Hitobito,1996.0,0.36
ESPN X Games Skateboarding,2001.0,0.36
Resident Evil Zero,2016.0,0.36
Super Fire ProWrestling Special,1994.0,0.36
Yuu Yuu Hakusho,1993.0,0.36
Robots,2005.0,0.36
NARC,2005.0,0.36
Big Bass World Championship,1997.0,0.36
Jurassic Park,1993.0,0.36
Mystical Ninja starring Goemon,1997.0,0.36
Tetrisphere,1997.0,0.36
North American Hunting Extravaganza,2008.0,0.36
AMF Bowling World Lanes,2008.0,0.36
Breath of Fire II,1994.0,0.36
LEGO Racers,1999.0,0.36
ESPN NFL Football,2003.0,0.36
Rapala Pro Fishing,2004.0,0.36
Dark Void,2010.0,0.36
Super Robot Taisen A,2001.0,0.36
Chicken Shoot,2007.0,0.36
Defiance,2013.0,0.36
We Sing Deutsche Hits,2011.0,0.36
Frogs And Flies,1981.0,0.36
DanceDanceRevolution,2010.0,0.36
Harry Potter and the Chamber of Secrets,2002.0,0.36
EA Sports MMA,2010.0,0.36
South Park Rally,1998.0,0.36
Monopoly,2008.0,0.36
Mega Man Zero Collection,2010.0,0.36
Arctic Thunder,2001.0,0.36
Shrek,2001.0,0.36
Blasto,1998.0,0.35
Dark Souls III,2016.0,0.35
Suikoden V,2006.0,0.35
Remember Me,2013.0,0.35
Mini Ninjas,2009.0,0.35
Terminator Salvation,2009.0,0.35
Mini Ninjas,2009.0,0.35
Stunt Race FX,1993.0,0.35
WWE Crush Hour,2003.0,0.35
Def Jam Rapstar,2010.0,0.35
SimCity Creator,2008.0,0.35
Angry Birds Star Wars,2013.0,0.35
Mega Man ZX Advent,2007.0,0.35
Racquet Sports,2010.0,0.35
Need for Speed Carbon,2006.0,0.35
Xbox Music Mixer,2003.0,0.35
WWE All Stars,2011.0,0.35
The Shoot,2010.0,0.35
The Tale of Despereaux,2008.0,0.35
Aggressive Inline,2002.0,0.35
Karaoke Revolution,2003.0,0.35
NFL Street,2004.0,0.35
Hello Kitty Daily,2008.0,0.35
EverGrace,2000.0,0.35
Def Jam Icon,2007.0,0.35
Over the Hedge,2006.0,0.35
Charlie and the Chocolate Factory,2005.0,0.35
SD Gundam G Generation World,2011.0,0.34
The Wild Thornberrys Movie,2002.0,0.34
SoulCalibur,1999.0,0.34
Etrian Odyssey,2007.0,0.34
Conan,2007.0,0.34
Tenchu Z,2006.0,0.34
Freeway,1980.0,0.34
Chicken Riot,2010.0,0.34
Iron Storm,1995.0,0.34
Radiant Historia,2010.0,0.34
Marvel Super Heroes,1997.0,0.34
Frostbite,1983.0,0.34
Power Rangers Samurai,2011.0,0.34
Fantastic Voyage,1981.0,0.34
Bee Movie Game,2007.0,0.34
Silent Hill HD Collection,2012.0,0.34
Off Road Challenge,1998.0,0.34
Bank Heist,1982.0,0.34
Backstreet Billiards,1998.0,0.34
Carnival,1981.0,0.34
Point Blank,1997.0,0.34
Bookworm,2009.0,0.34
Rayman Legends,2014.0,0.34
My Baby Boy,2008.0,0.34
Tiny Tank,1998.0,0.34
Jonah Lomu Rugby Challenge,2011.0,0.34
Spy Hunter,2002.0,0.34
Angry Birds Star Wars,2013.0,0.34
Teenage Mutant Ninja Turtles,2003.0,0.34
The Eye of Judgment,2007.0,0.34
Power Rangers Samurai,2011.0,0.34
Fade to Black,1996.0,0.34
MXRider,2001.0,0.34
Ninja Blade,2009.0,0.33
Fracture,2008.0,0.33
Tokyo Highway Battle,1996.0,0.33
Binary Domain,2012.0,0.33
The King of Fighters XIII,2011.0,0.33
Bomberman World,1998.0,0.33
Deathtrap Dungeon,1998.0,0.33
Ape Escape Academy,2004.0,0.33
The Darkness II,2012.0,0.33
SingStar Take That,2009.0,0.33
WWE Wrestlemania XIX,2003.0,0.33
Planet Puzzle League,2007.0,0.33
Hulk,2003.0,0.33
Chicken Blaster,2009.0,0.33
Resonance of Fate,2010.0,0.33
BeatMania Append GottaMix,1999.0,0.33
Shrek SuperSlam,2005.0,0.33
Legends of Wrestling II,2002.0,0.33
Little Deviants,2011.0,0.33
Extra Bases,1990.0,0.33
Capcom Classics Collection Reloaded,2006.0,0.33
GT Advance Championship Racing,2001.0,0.33
BattleTanx,1998.0,0.33
DECA Sports Freedom,2010.0,0.33
Battle Dodge Ball,1991.0,0.33
Goosebumps HorrorLand,2008.0,0.33
Elebits,2006.0,0.33
NeoGeo Battle Coliseum,2005.0,0.33
SSX Blur,2007.0,0.33
The Black Eyed Peas Experience,2011.0,0.33
Parodius,1994.0,0.33
Angry Birds Star Wars,2013.0,0.33
MySims SkyHeroes,2010.0,0.33
Eternal Sonata,2007.0,0.33
EA Playground,2007.0,0.33
Clash of the Titans,2010.0,0.33
Folklore,2007.0,0.33
Teen Titans,2006.0,0.33
LEGO The Lord of the Rings,2012.0,0.33
Fireball,1981.0,0.33
God of War Collection,2014.0,0.33
Def Jam Rapstar,2010.0,0.33
Overlord II,2009.0,0.32
Championship Bass,1999.0,0.32
Test Drive Unlimited,2006.0,0.32
Kinetica,2001.0,0.32
Beautiful Katamari,2007.0,0.32
Overlord II,2009.0,0.32
Crash of the Titans,2007.0,0.32
Prey,2006.0,0.32
Birthday Party Bash,2009.0,0.32
OverBlood,1996.0,0.32
TrackMania Turbo,2016.0,0.32
The Biggest Loser,2009.0,0.32
Minute to Win It,2011.0,0.32
Darkwatch,2005.0,0.32
Dance Dance Revolution Universe,2007.0,0.32
SimAnimals,2009.0,0.32
Sky Odyssey,2000.0,0.32
DiRT Rally,2016.0,0.32
Fortress,2001.0,0.32
Rally Cross,1997.0,0.32
Extreme Pinball,1995.0,0.32
Shaun White Snowboarding,2008.0,0.32
Rock Band Country Track Pack,2009.0,0.32
Derby Stallion DS,2008.0,0.32
Monster Lab,2008.0,0.32
Shin Momotarou Densetsu,1993.0,0.32
Sega Smash Pack,2002.0,0.32
Shin Super Robot Taisen Special Disk,1997.0,0.32
Live A Live,1994.0,0.32
Momotarou Dentetsu Happy,1996.0,0.32
Romance of the Three Kingdoms VII,2000.0,0.32
Shrek the Third,2007.0,0.32
Catherine,2011.0,0.32
DJ Hero,2009.0,0.32
WipEout Pulse,2007.0,0.32
Quiz Magic Academy DS,2008.0,0.32
Shenmue II,2002.0,0.32
Heart of Darkness,1998.0,0.32
Fable III,2011.0,0.32
Fuel,2009.0,0.31
ExerBeat,2010.0,0.31
Crash Nitro Kart,2003.0,0.31
NBA ShootOut,1995.0,0.31
Fishing Master,2007.0,0.31
Phineas and Ferb Ride Again,2010.0,0.31
Mario Golf,1999.0,0.31
The Incredible Hulk,2008.0,0.31
FIFA Street,2005.0,0.31
Barbie as The Island Princess,2007.0,0.31
Happy Feet,2006.0,0.31
Dark Void,2010.0,0.31
SD Gundam G Generation Wars,2009.0,0.31
Panzer Dragoon II Zwei,1995.0,0.31
KISS Pinball,2001.0,0.31
Super Robot Taisen Complete Box,1999.0,0.31
Mega Man Maverick Hunter X,2005.0,0.31
Lord of Arcana,2010.0,0.31
Hot Wheels Turbo Racing,1999.0,0.31
Doubutsu no Mori,2001.0,0.31
MySims SkyHeroes,2010.0,0.31
Mountain King,1982.0,0.31
Madagascar,2005.0,0.31
Shaun White Snowboarding,2008.0,0.31
Demolition Racer,1998.0,0.31
Final Fantasy IV,1997.0,0.31
Math Play,2006.0,0.31
Sorcery,2012.0,0.31
Star Wars Racer Revenge,2002.0,0.31
The King of Fighters XIII,2011.0,0.31
Music Maker,2001.0,0.31
Astroblast,1981.0,0.31
Blade II,2002.0,0.31
Skylanders SWAP Force,2013.0,0.31
A Collection of Classic Games from the Intellivision,1999.0,0.31
Spin Jam,2000.0,0.31
KuruKuru Kururin,2001.0,0.31
Shrek Swamp Kart Speedway,2002.0,0.3
Gameboy Gallery,1995.0,0.3
Ehrgeiz,1998.0,0.3
Stranglehold,2007.0,0.3
Lumines ll,2006.0,0.3
NES Remix,2014.0,0.3
Karaoke Revolution Party,2005.0,0.3
Burnout,2002.0,0.3
Chaos Legion,2003.0,0.3
PowerUp Heroes,2011.0,0.3
Charlie and the Chocolate Factory,2005.0,0.3
Blazing Heroes,1995.0,0.3
Rhythm Tengoku,2006.0,0.3
Super Robot Taisen W,2007.0,0.3
Cart World Series,1997.0,0.3
Squinkies,2011.0,0.3
Decathlete,1994.0,0.3
Jonas,2009.0,0.3
Toukiden Kiwami,2014.0,0.3
Romance of the Three Kingdoms VIII,2002.0,0.3
Daikaijyuu Monogatari,1994.0,0.3
Hard Hitter Tennis,2001.0,0.3
Glory of Heracles,2008.0,0.3
Quake II,1999.0,0.3
MySims Party,2009.0,0.3
Harry Potter and the Order of the Phoenix,2007.0,0.3
One Piece Unlimited Cruise SP,2011.0,0.3
Eternal Ring,2000.0,0.3
Dragon Force,1996.0,0.3
Capcom Classics Collection Remixed,2006.0,0.3
Far East of Eden Zero,1995.0,0.3
Full Spectrum Warrior,2005.0,0.3
Mega Man ZX,2006.0,0.3
Dreamworks Madagascar Kartz,2009.0,0.3
Hamster Tarou,1999.0,0.3
Shark Tale,2004.0,0.3
MLB SlugFest Loaded,2004.0,0.3
Teenage Mutant Ninja Turtles,2003.0,0.3
Trace Memory,2005.0,0.3
RealSports Boxing,1986.0,0.29
Grandia II,2002.0,0.29
Front Mission Evolved,2010.0,0.29
Tom and Jerry Tales,2006.0,0.29
Mini Ninjas,2009.0,0.29
NieR,2010.0,0.29
Need for Speed Underground,2003.0,0.29
Soul Sacrifice Delta,2014.0,0.29
Guardian Heroes,1995.0,0.29
MLB Power Pros,2007.0,0.29
Outlaw Golf,2002.0,0.29
Up,2009.0,0.29
Majin and the Forsaken Kingdom,2010.0,0.29
SD Gundam G Century,1997.0,0.29
Def Jam Rapstar,2010.0,0.29
Starhawk,2012.0,0.29
Dolphin,1983.0,0.29
Angry Birds Star Wars,2013.0,0.29
Fast Food,1981.0,0.29
Viz,1998.0,0.29
Top Gear Overdrive,1998.0,0.29
The New Tetris,1999.0,0.29
War Gods,1997.0,0.29
World of Tanks,2011.0,0.29
Marvel Super Hero Squad,2009.0,0.29
Heroes of the Pacific,2005.0,0.29
Disney Infinity,2013.0,0.29
DX Game of Life,1996.0,0.29
Pirates of the Caribbean,2003.0,0.29
The Punisher,2005.0,0.29
MLB Pennant Race,1996.0,0.29
WWII Aces,2008.0,0.29
Shrek Super Party,2002.0,0.29
Dynasty Tactics,2002.0,0.29
Trivial Pursuit,2009.0,0.29
Neopets Puzzle Adventure,2008.0,0.29
Shrek the Third,2007.0,0.29
Snowboarding,2000.0,0.29
Purr Pals,2008.0,0.29
Looney Tunes Racing,2000.0,0.29
SAW,2009.0,0.29
Wappy Dog,2011.0,0.29
Kung Zhu,2010.0,0.29
Earthworm Jim,2001.0,0.29
Tales of Phantasia,2003.0,0.29
The Golden Compass,2007.0,0.29
All Star Cheer Squad,2008.0,0.28
SingStar Country,2008.0,0.28
DeathSmiles,2009.0,0.28
VMX Racing,1997.0,0.28
Bratz Ponyz,2007.0,0.28
Super Fire ProWrestling X,1995.0,0.28
Baby Pals,2007.0,0.28
International Superstar Soccer,1994.0,0.28
The Warriors,2005.0,0.28
Monopoly Streets,2010.0,0.28
Shadow Hearts,2001.0,0.28
Street Hoops,2002.0,0.28
Chromehounds,2006.0,0.28
Final Fantasy VI Advance,2006.0,0.28
Polaris,1982.0,0.28
Viewtiful Joe,2004.0,0.28
Kung Fu Chaos,2003.0,0.28
Jackass the Game,2007.0,0.28
Mega Man II,1991.0,0.28
Lord of Darkness,1991.0,0.28
MX SuperFly featuring Ricky Carmichael,2002.0,0.28
Guitar Hero Live,2015.0,0.28
Sing Party,2012.0,0.28
Monopoly,2010.0,0.28
Dead or Alive,1998.0,0.28
Bionic Commando,2009.0,0.28
Shadows of the Damned,2011.0,0.28
NBA In The Zone,1995.0,0.28
Corvette,2003.0,0.28
Bass Strike,2001.0,0.28
Over the Hedge,2006.0,0.28
Real Pool,2000.0,0.28
The Warriors,2007.0,0.28
Mister Mosquito,2001.0,0.28
Kakyuusei,1997.0,0.28
Civilization II,1998.0,0.28
Madagascar,2005.0,0.28
Indiana Jones and the Staff of Kings,2009.0,0.28
Pinkalicious,2011.0,0.28
Deer Hunter,2003.0,0.28
Mass Effect Trilogy,2012.0,0.28
My Japanese Coach,2008.0,0.28
Puppeteer,2013.0,0.28
Tak and the Guardians of Gross,2008.0,0.28
Summer Heat Beach Volleyball,2003.0,0.28
Deadpool,2015.0,0.28
Nichibutsu Arcade Classics,1995.0,0.28
Boogie,2007.0,0.27
Motocross Maniacs Advance,2002.0,0.27
Dynasty Warriors,1997.0,0.27
Final Fantasy X International,2004.0,0.27
Trivial Pursuit,2009.0,0.27
Suikoden Tierkreis,2008.0,0.27
Beamrider,1984.0,0.27
EyePet,2010.0,0.27
The Evil Within,2014.0,0.27
Gunship,1996.0,0.27
SD Gundam G Generation Portable,2006.0,0.27
Pro Race Driver,2002.0,0.27
Bishoujo Senshi Sailormoon R,1993.0,0.27
The Club,2008.0,0.27
Bridge,1980.0,0.27
Wave Rally,2001.0,0.27
Over the Hedge,2006.0,0.27
Ty the Tasmanian Tiger,2002.0,0.27
Reader Rabbit Kindergarten,2008.0,0.27
Shadow Man,1999.0,0.27
Shadow of Rome,2005.0,0.27
Tales of Eternia,2005.0,0.27
Harry Potter and the Order of the Phoenix,2007.0,0.27
Need for Speed Rivals,2013.0,0.27
MotoGP,2000.0,0.27
The Penguins of Madagascar,2010.0,0.27
Rock Revolution,2008.0,0.27
LEGO The Hobbit,2014.0,0.27
The Incredible Hulk,2008.0,0.27
Thoroughbred Breeder II,1994.0,0.27
Magical Vacation,2001.0,0.27
Ratatouille,2007.0,0.27
The Incredible Hulk,2008.0,0.27
Reign of Fire,2002.0,0.27
The BIGS,2007.0,0.27
Final Doom,1995.0,0.27
Deadly Premonition,2010.0,0.27
Ultimate NES Remix,2014.0,0.27
Duel Masters,2004.0,0.27
Ninja Gaiden Sigma,2012.0,0.27
Superman Returns,2006.0,0.27
The Dog Island,2007.0,0.27
Dynasty Warriors Next,2011.0,0.27
Operation Armored Liberty,2003.0,0.27
Rory McIlroy PGA Tour,2015.0,0.27
Fish Tycoon,2007.0,0.27
Don King Boxing,2009.0,0.27
Angry Birds Trilogy,2012.0,0.27
ESPN NBA Basketball,2003.0,0.27
Lowrider,2002.0,0.26
The Crew,2014.0,0.26
Rayman DS,2005.0,0.26
Gundam Breaker,2013.0,0.26
Create,2010.0,0.26
Panzer Dragoon Orta,2002.0,0.26
NCAA Gamebreaker,1996.0,0.26
Love Plus,2009.0,0.26
Tales of Innocence,2007.0,0.26
Virtua Racing,1994.0,0.26
Crash Tag Team Racing,2005.0,0.26
Bolt,2008.0,0.26
DS Bungaku Zenshuu,2007.0,0.26
Project Runway,2010.0,0.26
Inazuma Eleven Strikers,2011.0,0.26
Final Fantasy V Advance,2006.0,0.26
Babysitting Mania,2008.0,0.26
Tom and Jerry in War of the Whiskers,2002.0,0.26
Minute to Win It,2010.0,0.26
Racquet Sports,2010.0,0.26
Riding Spirits,2002.0,0.26
Indiana Jones and the Staff of Kings,2009.0,0.26
Gundam Battle Universe,2008.0,0.26
Nightmare Creatures,1996.0,0.26
Evolution Skateboarding,2002.0,0.26
Indiana Jones and the Staff of Kings,2009.0,0.26
Outlaw Volleyball,2003.0,0.26
RealSports Football,1981.0,0.26
The Testament of Sherlock Holmes,2012.0,0.26
Game of Thrones,2012.0,0.26
Crash Nitro Kart,2003.0,0.26
Karaoke Joysound Wii,2008.0,0.26
Polarium,2004.0,0.26
Sega Rally Revo,2007.0,0.26
Legendary,2008.0,0.26
Daisy Fuentes Pilates,2009.0,0.26
Tokyo Jungle,2012.0,0.26
Desert Falcon,1987.0,0.26
The Backyardigans,2009.0,0.26
Backyard NFL Football,2002.0,0.26
MTX Mototrax,2004.0,0.26
NHL Rock the Rink,1999.0,0.26
Super Robot Taisen R,2002.0,0.26
Metroid Prime Pinball,2005.0,0.26
Nickelodeon Dance,2011.0,0.26
Doukyuusei if,1996.0,0.26
Secret Weapons Over Normandy,2003.0,0.25
Teen Titans,2006.0,0.25
Crusaders of Might and Magic,1999.0,0.25
Journey,2012.0,0.25
Tearaway Unfolded,2015.0,0.25
Bomberman Generation,2002.0,0.25
Romance of the Three Kingdoms II,1991.0,0.25
World Series of Poker,2005.0,0.25
Galactic Attack,1994.0,0.25
Game of Thrones,2012.0,0.25
Happy Feet,2006.0,0.25
Scrabble,2009.0,0.25
Evil Zone,1998.0,0.25
Spy Kids Challenger,2002.0,0.25
Exhibition,2001.0,0.25
Scrabble,1999.0,0.25
Cars,2006.0,0.25
Up,2009.0,0.25
Birds of Steel,2012.0,0.25
WipEout XL,1996.0,0.25
Animal Paradise,2007.0,0.25
Men of Valor,2004.0,0.25
Bomberman Tournament,2001.0,0.25
Medal of Honor European Assault,2005.0,0.25
Billy Hatcher and the Giant Egg,2003.0,0.25
Final Fantasy II,2001.0,0.25
WipEout Fusion,2002.0,0.25
The Outfit,2006.0,0.25
Golden Nugget Casino,2004.0,0.25
Atari Anthology,2004.0,0.25
Ultimate Fighting Championship,2000.0,0.25
XIII,2003.0,0.25
Samurai Shodown II,1994.0,0.25
Hybrid Heaven,1999.0,0.25
Wheel of Fortune,1997.0,0.25
Def Jam Vendetta,2003.0,0.25
Penny Racers,1996.0,0.25
Caesars Palace II,1998.0,0.25
Sentimental Graffiti,1998.0,0.25
Bolt,2008.0,0.25
The Legend of Legacy,2015.0,0.25
Devil Kings,2005.0,0.25
Ultimate Band,2008.0,0.25
NBA Jam Tournament Edition,1995.0,0.25
Far Cry Instincts Predator,2006.0,0.25
Shadow Man,1998.0,0.25
Grandia,1999.0,0.25
TV Superstars,2010.0,0.25
Dreamworks Madagascar Kartz,2009.0,0.25
Harry Potter and the Order of the Phoenix,2007.0,0.25
Cradle of Rome,2008.0,0.25
Monster Hunter G,2009.0,0.25
Fuel,2009.0,0.25
Project Overkill,1996.0,0.25
Nickelodeon Party Blast,2002.0,0.25
SBK Superbike World Championship,2008.0,0.25
Tales of Hearts,2008.0,0.24
Catz,2005.0,0.24
Trials Fusion,2014.0,0.24
Avalon Code,2008.0,0.24
Tongari Boushi to Oshare na Mahou Tsukai,2011.0,0.24
Panzer General,1995.0,0.24
Spawn the Eternal,1997.0,0.24
MLB,2005.0,0.24
Dreamcast Collection,2011.0,0.24
Homefront,2011.0,0.24
Disney Stitch Jam,2009.0,0.24
Guitar Freaks,1999.0,0.24
Namco Tennis Smash Court,1995.0,0.24
Vexx,2003.0,0.24
The Incredible Hulk,2008.0,0.24
Genma Onimusha,2002.0,0.24
Pure Futbol,2010.0,0.24
Corvette,2003.0,0.24
Harry Potter and the Goblet of Fire,2005.0,0.24
Skylanders SWAP Force,2013.0,0.24
Boogie SuperStar,2008.0,0.24
Super Monkey Ball Deluxe,2005.0,0.24
Street Fighter X Tekken,2012.0,0.24
Stella Glow,2015.0,0.24
Dancing With The Stars,2007.0,0.24
Luminous Arc,2007.0,0.24
NHRA Championship Drag Racing,2005.0,0.24
Monster Jam,2007.0,0.24
Valhalla Knights,2006.0,0.24
Front Line,1981.0,0.24
Paperboy,1999.0,0.24
Lucky Luke,1998.0,0.24
Ghost Rider,2007.0,0.24
Forsaken,1998.0,0.24
LEGO The Hobbit,2014.0,0.24
The Hobbit,2003.0,0.24
DiRT Showdown,2012.0,0.24
Checkers,1980.0,0.24
Hello Kitty Seasons,2010.0,0.24
XS Airboat Racing,2002.0,0.24
Sherlock Holmes and the Mystery of Osborne House,2010.0,0.24
Grand Theft Auto,2004.0,0.24
My Street,2003.0,0.24
Angry Birds,2011.0,0.24
Guitar Hero Live,2015.0,0.24
Rampage,1988.0,0.24
Dark Cavern,1981.0,0.24
Jewels of the Tropical Lost Island,2010.0,0.24
Afro Samurai,2009.0,0.24
Sands of Destruction,2008.0,0.24
Lunar Knights,2006.0,0.24
DC Universe Online,2011.0,0.24
New Carnival Games,2010.0,0.23
Etrian Mystery Dungeon,2015.0,0.23
Big Family Games,2009.0,0.23
Super Robot Taisen D,2003.0,0.23
Buffy the Vampire Slayer,2002.0,0.23
Harry Potter and the Goblet of Fire,2005.0,0.23
Meteos,2005.0,0.23
Cross Edge,2008.0,0.23
Hotel for Dogs,2008.0,0.23
SSX On Tour,2005.0,0.23
World Series Baseball,2002.0,0.23
SingStar Pop Edition,2009.0,0.23
The Club,2008.0,0.23
Carnival Island,2011.0,0.23
Jeremy McGrath Supercross World,2001.0,0.23
Monster Hunter G,2005.0,0.23
Rock Band Country Track Pack,2009.0,0.23
ESPN NHL Hockey,2003.0,0.23
Harvest Moon GB,1997.0,0.23
Gundam Battle Assault,1998.0,0.23
Virtua Fighter Kids,1995.0,0.23
Shaun White Snowboarding,2008.0,0.23
LEGO The Hobbit,2014.0,0.23
Ultimate Band,2008.0,0.23
I Love Horses,2008.0,0.23
Perfect Weapon,1996.0,0.23
Project CARS,2015.0,0.23
Mafia,2004.0,0.23
Deadly Creatures,2009.0,0.23
Airblade,2001.0,0.23
Neopets Puzzle Adventure,2008.0,0.23
Puss in Boots,2011.0,0.23
Musou Orochi Z,2009.0,0.23
WWE All Stars,2011.0,0.23
Rocket League,2016.0,0.23
Critical Depth,1997.0,0.23
Barbie as The Island Princess,2007.0,0.23
Super Swing Golf,2006.0,0.23
The Italian Job,2003.0,0.23
Barbie and the Three Musketeers,2009.0,0.23
Star Ocean,1996.0,0.23
Freedom Fighters,2003.0,0.23
Alundra,1997.0,0.23
Super Robot Taisen F Kanketsuhen,1999.0,0.23
BlowOut,2003.0,0.23
NFL Blitz Pro,2003.0,0.23
MySims Party,2009.0,0.23
The Raiden Project,1995.0,0.23
Pocket Fighter,1997.0,0.23
The Polar Express,2004.0,0.23
Dinosaur King,2007.0,0.23
Child of Eden,2011.0,0.23
All Star Karate,2010.0,0.23
Tetris Attack,1996.0,0.23
Jersey Devil,1997.0,0.23
Rogue Ops,2003.0,0.23
Petz Monkeyz House,2008.0,0.23
Justice League Heroes,2006.0,0.22
Killer is Dead,2013.0,0.22
EX Monopoly,2001.0,0.22
Deadly Duck,1981.0,0.22
Assault,1982.0,0.22
Reactor,1981.0,0.22
Ys Seven,2009.0,0.22
Gundam Battle Chronicle,2007.0,0.22
Danball Senki Boost,2011.0,0.22
Whirl Tour,2002.0,0.22
Dark Souls II,2015.0,0.22
Skies of Arcadia Legends,2002.0,0.22
Cloudy With a Chance of Meatballs,2009.0,0.22
Breath of Fire,2001.0,0.22
Ragnarok DS,2008.0,0.22
A Boy and His Blob,2009.0,0.22
Battleborn,2016.0,0.22
Crazy Climber,1981.0,0.22
Super Adventure Island,1992.0,0.22
Dino Stalker,2002.0,0.22
Mobile Suit Gundam Seed,2003.0,0.22
Shinobi,2011.0,0.22
Puss in Boots,2011.0,0.22
LEGO The Lord of the Rings,2012.0,0.22
Barbie Super Sports,1999.0,0.22
Jackass the Game,2007.0,0.22
Dungeon Hunter Alliance,2012.0,0.22
Cursed Mountain,2009.0,0.22
The Suffering,2004.0,0.22
Tetris Worlds,2002.0,0.22
ECW Hardcore Revolution,2000.0,0.22
Tales of Graces,2009.0,0.22
ATV Quad Kings,2009.0,0.22
NBA Jam Extreme,1996.0,0.22
Touch the Dead,2007.0,0.22
Nickelodeon Party Blast,2002.0,0.22
Tales of Berseria,2016.0,0.22
Infinite Space,2009.0,0.22
Tamagotchi no KiraKira Omisecchi,2008.0,0.22
From Russia With Love,2005.0,0.22
Full Auto,2006.0,0.22
Dead Island,2011.0,0.22
Hasbro Family Game Night,2009.0,0.22
Shin Megami Tensei x Fire Emblem,2015.0,0.22
Jikkyou Powerful Major League,2006.0,0.22
Darksiders II,2015.0,0.22
Saltwater Sportfishing,2001.0,0.22
Pass the Pigs,2008.0,0.22
Sports Car GT,1999.0,0.22
Kanzen Chuuki Pro Yakyuu Greatest Nine,1995.0,0.22
American Idol,2003.0,0.22
Shrek SuperSlam,2005.0,0.22
Over G Fighters,2006.0,0.22
Sailor Moon,1993.0,0.22
Herdy Gerdy,2002.0,0.22
Armored Core V,2012.0,0.22
EVE Online,2003.0,0.22
Ride,2015.0,0.22
Blue Dragon Plus,2008.0,0.22
Lords of the Fallen,2014.0,0.22
Dark Summit,2001.0,0.21
Afrika,2008.0,0.21
NBA,2005.0,0.21
Disaster Report,2002.0,0.21
We Sing Robbie Williams,2010.0,0.21
Big League Sports,2011.0,0.21
WCW Backstage Assault,1999.0,0.21
Wild Wild Racing,2000.0,0.21
MTV Celebrity Deathmatch,2003.0,0.21
Conflict Zone,2002.0,0.21
BloodRayne,2002.0,0.21
World Poker Tour,2005.0,0.21
Neo Contra,2004.0,0.21
MVP Baseball,2005.0,0.21
GRID Autosport,2014.0,0.21
RealSports Baseball,1981.0,0.21
Rayman Raving Rabbids,2007.0,0.21
Dragon Ball Z Hyper Dimension,1995.0,0.21
Marvel Super Hero Squad,2009.0,0.21
HBO Boxing,2000.0,0.21
Yoga Wii,2009.0,0.21
Darkwatch,2005.0,0.21
Maximo vs Army of Zin,2003.0,0.21
Namco Museum Megamix,2010.0,0.21
Wedding Dash,2009.0,0.21
Shadow of Destiny,2001.0,0.21
Brunswick Pro Bowling,2007.0,0.21
World Series of Poker,2005.0,0.21
Monopoly,1999.0,0.21
WCW Nitro,1998.0,0.21
Heroes of Ruin,2012.0,0.21
SBK Superbike World Championship,2008.0,0.21
Bionicle,2003.0,0.21
Threads of Fate,1999.0,0.21
PoPoLoCrois Monogatari II,2000.0,0.21
Vampire Rain,2007.0,0.21
Rumble Racing,2001.0,0.21
Batman Begins,2005.0,0.21
The Last Airbender,2010.0,0.21
StokEd,2009.0,0.21
Rollcage,1999.0,0.21
Super Robot Taisen K,2009.0,0.21
LEGO The Hobbit,2014.0,0.21
Rayman Legends,2014.0,0.21
Tiger Woods PGA Tour,2005.0,0.21
Heisei Kyouiku linkai DS,2006.0,0.21
Final Fight One,2001.0,0.21
Dawn of Discovery,2009.0,0.21
Anarchy Reigns,2012.0,0.21
Defiance,2013.0,0.21
Kung Fu Rider,2010.0,0.21
The Wolf Among Us,2014.0,0.21
Thrillville,2006.0,0.2
Enchanted Arms,2007.0,0.2
WWE All Stars,2011.0,0.2
World Championship Cards,2008.0,0.2
Capcom Fighting Evolution,2004.0,0.2
SD Gundam GNext,1995.0,0.2
Sloane to MacHale no Nazo no Monogatari,2009.0,0.2
